tracks,occurrence,freqency
"Hearts Of Stone - Live at Video Game Show 2016",1,0.076923
"Silver For Monsters - Live at Video Game Show 2016",1,0.076923
"On Thin Ice",2,0.153846
"Conjunction Of The Spheres",2,0.153846
"Turning the Tide",2,0.153846
"Geralt Of Rivia - Live at Video Game Show 2016",2,0.153846
"The Hunter + The Storm",1,0.076923
"The Beast Of Beauclair",1,0.076923
"Peaks Pass",1,0.076923
"Claws And Scales",1,0.076923
"Tesham Mutna",1,0.076923
"The Army of the Dead",1,0.076923
"Out of Control",1,0.076923
"Arena Of Rage",1,0.076923
"Howl",1,0.076923
"The Creeping Hut",1,0.076923
"The Witch of Hemwick",1,0.076923
"Deliverance",1,0.076923
"Twisted Force",1,0.076923
"Masser",1,0.076923
"Aurora",1,0.076923
"Dragonsreach",1,0.076923
"Standing Stones",1,0.076923
"Thedas Love Theme",2,0.153846
"Clairvoyance",1,0.076923
"Monks and Chicks",1,0.076923
"Kyne's Peace",1,0.076923
"Crashed Upon the Shield",1,0.076923
"Symphony of the Void",2,0.153846
"Dancing with the Source",1,0.076923
"Tooth and Claw",1,0.076923
"Death or Sovngarde",1,0.076923
"Steel on Steel",1,0.076923
"Caught off Guard",1,0.076923
"War",1,0.076923
"Blood and Steel",1,0.076923
"Death Knell",1,0.076923
"Fall of the Hammer",1,0.076923
"March of the Marauders",1,0.076923
"Defending the Gate",1,0.076923
"Bloody Blades",1,0.076923
"Daedra in Flight",1,0.076923
"Bloodlust",1,0.076923
"Churl's Revenge",1,0.076923
"Onslaught at the Gates",1,0.076923
"To Kill An Ogre",1,0.076923
"Five Armies",1,0.076923
"The Dragon Thrashed and Wailed",1,0.076923
"Come Soft Winds of Death",2,0.153846
"Ride to Destiny",1,0.076923
"Final Confrontation",1,0.076923
"Lair of the Great Wyrm",2,0.153846
"Deep Trouble",1,0.076923
"Qunari On the Rise",1,0.076923
"Main Theme",1,0.076923
"Welcome to the Asylum",1,0.076923
"Arrival",1,0.076923
"Main Hall",1,0.076923
"Wake Up",1,0.076923
"Finale",1,0.076923
"Silent Footsteps",1,0.076923
"Death in the Darkness",1,0.076923
"Hail, Paemon!",1,0.076923
"Firelink Shrine",1,0.076923
"Premonition",1,0.076923
"Moonlit Melody",2,0.153846
"Hunter's Dream",2,0.153846
"The Quarantine Zone (20 Years Later)",1,0.076923
"Duskwood",1,0.076923
"Graveyard",1,0.076923
"Lurking",1,0.076923
"SHA (Spirits of Hatred)",1,0.076923
"Relic Uncovered",1,0.076923
"Menu Theme",1,0.076923
"Darkness",1,0.076923
"Grand Hall",1,0.076923
"Ending: Agrippa",1,0.076923
"The Darkening Ground",1,0.076923
"The Villain",1,0.076923
"The Guise of Man",1,0.076923
"Destiny",1,0.076923
"Battle In The Sky",1,0.076923
"Descent into the Depths",1,0.076923
"Forged in War",1,0.076923
"Oath of Malacath",1,0.076923
"The Elder One Theme",1,0.076923
"Abyssal Assault",1,0.076923
"Demonic Onslaught",1,0.076923
"The Night Of Long Fangs",1,0.076923
"Master of Fate",2,0.153846
"Guardians of the Past",1,0.076923
"Orb of Destruction",1,0.076923
"Mournweald Encounter",1,0.076923
"Enter the Fire God",1,0.076923
"By Death or Dream",1,0.076923
"Seasons of War (Intro Movie)",1,0.076923
"Salvation",1,0.076923
"Astel, Naturalborn of the Void",1,0.076923
"The Endless Night",1,0.076923
"Vermintide End Times",1,0.076923
"Godskin Apostles",1,0.076923
"Cleric Beast",1,0.076923
"Blood-starved Beast",1,0.076923
"Castellan Sylvan",1,0.076923
"Undying Kazimir",1,0.076923
"Regal Ancestor Spirit",2,0.153846
"Godfrey, First Elden Lord",1,0.076923
"Sins and Gods - Revelation",1,0.076923
"A Threat from Nether Years",1,0.076923
"Gather Your Allies!",1,0.076923
"Elder Brain",1,0.076923
"The Planets, Op. 32: Saturn, the Bringer of Old Age",1,0.076923
"Nightfall",1,0.076923
"Hollow Knight",1,0.076923
"Dirtmouth",1,0.076923
"Resting Grounds",1,0.076923
"Reflection",1,0.076923
"Haunted Corridor",1,0.076923
"A Cold Presence",1,0.076923
"White Specter",1,0.076923
"Disguise",1,0.076923
"Requiem, K. 626: Lacrimosa dies illa",1,0.076923
"In Lily's Honour",1,0.076923
"Cemetery Waltz",1,0.076923
"Prologue",1,0.076923
"The Arrival",1,0.076923
"Back Hall",2,0.153846
"Are We Alone?",1,0.076923
"Nocturnal",1,0.076923
"The Great Hall",1,0.076923
"Dear Reader",1,0.076923
"Hunters Haven",2,0.153846
"Macabre Respite",1,0.076923
"Milton's Tower",1,0.076923
"Iiardnia Village",1,0.076923
"Intro / Menu",2,0.153846
"A Deeper Dream",1,0.076923
"Lone Harvest",1,0.076923
"Huddled in the Shadows",1,0.076923
"The Nightmare Ends (From Bloodborne) [Hunter's Dream]",1,0.076923
"Return to Slumber",1,0.076923
"The Darkest of Days",1,0.076923
"Streets of New London",1,0.076923
"The Night Unfurls",1,0.076923
"Kindle the Soul 'Acoustic' (From Dark Souls) [Firelink Shrine]",1,0.076923
"Under an Ancient Sun",1,0.076923
"Abyss Watchers (From Dark Souls III)",1,0.076923
"Song of Despair: The Lord of Frenzied Flame (from Elden Ring)",1,0.076923
"Remembrance: Elden Ring (From Elden Ring) [Remix]",1,0.076923
"Kyovashad",1,0.076923
"Miquella's Promise",1,0.076923
"Exodus",1,0.076923
"God Give Me Voice, God Guide My Hand",1,0.076923
"You Never Let Me Go",1,0.076923
"Dark Water",1,0.076923
"Psychopath",1,0.076923
"Momentous Times Are Upon Us",1,0.076923
"William's Confession",1,0.076923
"Brackenbury",1,0.076923
"Tension",1,0.076923
"Into Darkness",1,0.076923
"Portal to the Past",1,0.076923
"Swarm Ambiance",1,0.076923
"The Origins of Murder Victim Jane Doe",1,0.076923
"Unlocking the Seal",1,0.076923
"The Way Down",1,0.076923
"The Enduring Pride",1,0.076923
"The Rampage",1,0.076923
"Borean Tundra",1,0.076923
"Tempest",1,0.076923
"Darkened Shores",1,0.076923
"Water Tunnels",1,0.076923
"We Need Our Army Back",1,0.076923
"A Wet Grave",1,0.076923
"Leviathan",1,0.076923
"Enter the rabbit hole",1,0.076923
"Explore the Ruins",1,0.076923
"Where Dreams Become Nightmares",1,0.076923
"Lion's Pride",1,0.076923
"Concerning Hobbits",1,0.076923
"Misty Mountains",1,0.076923
"Old Town",1,0.076923
"Stonefire",1,0.076923
"Blunt the Knives - Exclusive Bonus Track",1,0.076923
"Tavern Music",1,0.076923
"Brightwall",1,0.076923
"Bowerstone Market",1,0.076923
"Sera (feat. Elizaveta & Nick Stoubis)",1,0.076923
"Shady Rest",1,0.076923
"New Tristram",1,0.076923
"Temple of the Moon",1,0.076923
"Around the Fire",1,0.076923
"Lullaby Of Woe",1,0.076923
"Tarren Mill",1,0.076923
"The Bannered Mare",1,0.076923
"Wolven Storm - English",1,0.076923
"Reaver Mansion",1,0.076923
"Downstream (Shira Kammen)",1,0.076923
"Babylon",1,0.076923
"Evening In The Tavern",1,0.076923
"Sneaky Snitch",1,0.076923
"A Story You Won't Believe",1,0.076923
"Title Theme",1,0.076923
"A Winter's Tale",1,0.076923
"Out of the Cold",1,0.076923
"Drinking at the Tavern - Inspired by Pirates of the Caribbean",1,0.076923
"City of Sails",1,0.076923
"Geralt Of Rivia",1,0.076923
"Kaer Morhen",1,0.076923
"Wake Up, Ciri",1,0.076923
"Aen Seidhe",1,0.076923
"Spikeroog",1,0.076923
"King Bran's Final Voyage",1,0.076923
"The Hunter's Path",1,0.076923
"Fate Calls",1,0.076923
"The Vagabond",1,0.076923
"Yes, I Do...",1,0.076923
"After The Storm",1,0.076923
"Farewell, Old Friend",1,0.076923
"In The Giant's Shadow",1,0.076923
"I Name Thee Dea And Embrace Thee As My Daughter",1,0.076923
"The Wolf And The Swallow",1,0.076923
"Reaper's Coast",1,0.076923
"Amber Ale",1,0.076923
"Driftwood",1,0.076923
"Path of the Godwoken",1,0.076923
"Red Prince Theme",1,0.076923
"Divine's Lament",1,0.076923
"The Queen's High Seas - Beast's Theme",1,0.076923
"Crazy Troubled Senses",1,0.076923
"A Nearly Peaceful Place",1,0.076923
"Flotsam At Sunrise",1,0.076923
"A Tavern On The Riverbank",1,0.076923
"Peaceful Moments",1,0.076923
"Dwarven Stone Upon Dwarven Stone",1,0.076923
"Nascence",1,0.076923
"Threshold",1,0.076923
"Love Scene",1,0.076923
"Hawke Family Theme",1,0.076923
"Viscount",1,0.076923
"Dusk Of A Northern Kingdom",1,0.076923
"River Of Life",1,0.076923
"Dead City",1,0.076923
"Withered Roses",1,0.076923
"Do You Remember?",1,0.076923
"The Dike",1,0.076923
"Leo's Farewell",1,0.076923
"Silver Sword",1,0.076923
"Into The Fields",1,0.076923
"An Army Lying In Wait",1,0.076923
"Blue Mountains - Edit Version",1,0.076923
"Regicide",1,0.076923
"Vergen By Night",1,0.076923
"A Quiet Corner",1,0.076923
"Cave Theme",1,0.076923
"Night In Loc Muinne",1,0.076923
"Harbor Town",1,0.076923
"Orgrimmar",1,0.076923
"Thunder Bluff",1,0.076923
"Stranglethorn Vale",1,0.076923
"Bonnie At Morn - Instrumental",1,0.076923
"The Banks Of The Sansretour",1,0.076923
"The Moon Over Mount Gorgon",1,0.076923
"The Slopes Of The Blessure",1,0.076923
"Calm Before The Storm",1,0.076923
"Moment Of Respite",1,0.076923
"No Place Like Home",1,0.076923
"A Gift Of A Thistle",1,0.076923
"Wallace Courts Murron",1,0.076923
"Attack On Murron",1,0.076923
"Murron's Burial",1,0.076923
"Sons Of Scotland",1,0.076923
"The Princess Pleads For Wallace's Life",1,0.076923
"For The Love Of A Princess",1,0.076923
"When No Man Has Gone Before",1,0.076923
"freswick",1,0.076923
"Stendarr’s Mercy",1,0.076923
"Dawn Gleams on Cyrodiil",1,0.076923
"Horizons of Cyrodiil",1,0.076923
"Glory of Cyrodiil",1,0.076923
"Geology",1,0.076923
"Garden of Life",1,0.076923
"The Grand Bazaar",1,0.076923
"Freehold",1,0.076923
"Pierre de lune",1,0.076923
"Wisdom of Dark Ages - Drakkens",1,0.076923
"Coriolis",1,0.076923
"The Unspoken - Cultists Theme",2,0.153846
"The Forest Spirit - WildWalkers",1,0.076923
"Nomadic Cities - Rovin Clans",2,0.153846
"Exploring the Island",2,0.153846
"Waycrest's Curse",1,0.076923
"Azura's Coast",1,0.076923
"Origins",1,0.076923
"The Tree When We Sat Once",1,0.076923
"The High Road",1,0.076923
"Safe Haven",1,0.076923
"Champions",1,0.076923
"Winter Song",1,0.076923
"The Forest",1,0.076923
"Darnassus",1,0.076923
"Elwynn Forest",1,0.076923
"Dun Morogh",1,0.076923
"The Sin'dorei",1,0.076923
"The Dark Crystal: Age of Resistance",1,0.076923
"Rian + Mira Dreamfast",1,0.076923
"Aughra Awakes",1,0.076923
"Deet Enters Thra",1,0.076923
"The Blue Flames Part I",1,0.076923
"Thra Is Calling",1,0.076923
"Speak For The Dead",1,0.076923
"The Dark Crystal: The Age Of Hope",1,0.076923
"An Old Story",1,0.076923
"Brea And The Library",1,0.076923
"Remember Your Oath",1,0.076923
"Your Turn to Roll (Theme From Critical Role)",1,0.076923
"Wolven Storm (From The Witcher 3) [Instrumental]",1,0.076923
"Twin Elms Redux",1,0.076923
"The Lost Temple",1,0.076923
"I Paid the Iron Price",1,0.076923
"You Know Nothing",1,0.076923
"I Have to Go North",1,0.076923
"Heir to Winterfell",1,0.076923
"Mhysa",1,0.076923
"Breaker of Chains",1,0.076923
"The North Remembers",1,0.076923
"Craster's Keep",1,0.076923
"The Real North",1,0.076923
"Elves At the Mercy of Man",1,0.076923
"The Common Dwarf",1,0.076923
"The Dalish",1,0.076923
"Human Nobility",1,0.076923
"The Party Camp",1,0.076923
"Burning the Past",1,0.076923
"Northern Lights",1,0.076923
"Cityscape",1,0.076923
"Echoes of the Roman Ruins",1,0.076923
"Prosperity and Decay",1,0.076923
"A Way of Life",1,0.076923
"Taken",1,0.076923
"To Know My Enemy",1,0.076923
"The Last of Us (A New Dawn)",1,0.076923
"All Gone (Aftermath)",1,0.076923
"State of Decay Main Theme",1,0.076923
"No Hope",1,0.076923
"The Makers Theme",1,0.076923
"The Rookie",1,0.076923
"Temple Secrets",1,0.076923
"What Came Before",1,0.076923
"Life at Sea",1,0.076923
"Into Eternity",1,0.076923
"The Mountain Watches",1,0.076923
"Awash in the Day",1,0.076923
"In Hushed Whispers",1,0.076923
"The Western Approach",1,0.076923
"Entering Himiko's Tomb",1,0.076923
"North from Riften",1,0.076923
"The Shaman's Story",1,0.076923
"The Call of the Widu",1,0.076923
"Eora (Title Theme)",1,0.076923
"Moth, Butterfly, and Torchbug",1,0.076923
"Northpoint Nocturne",1,0.076923
"Journey to Skyhold",1,0.076923
"Qarth - From The Game Of Thrones: Season 2 Soundtrack",1,0.076923
"Soulbound",1,0.076923
"Ori, Lost In the Storm (feat. Aeralie Brighton)",1,0.076923
"Light of Nibel (feat. Aeralie Brighton)",1,0.076923
"The Blinded Forest",1,0.076923
"Inspiriting",1,0.076923
"Riding the Wind (feat. Rachel Mellis)",1,0.076923
"Prologue (feat. Julie Elven) - Part 1 - Motherland",1,0.076923
"Aloy's Theme (feat. Julie Elven) - Part 1 - Motherland",1,0.076923
"Motherless (feat. Julie Elven) - Part 1 - Motherland",1,0.076923
"The Point Of The Spear - Part 1 - Motherland",1,0.076923
"Meridian, Shining - Part 3 - Onwards To Meridian",1,0.076923
"Opar",1,0.076923
"Returning Home",1,0.076923
"Dragonstone",1,0.076923
"A Thief's End",1,0.076923
"Hinterlands",1,0.076923
"Leave the Depths - Morgawr",1,0.076923
"Drums, Murmurs, and Lamentations",1,0.076923
"Through the Valleys",1,0.076923
"Village of the Living Trees",1,0.076923
"Moss Maidens",1,0.076923
"Boons and Banes",1,0.076923
"Promises",1,0.076923
"Go Tomorrow",1,0.076923
"Come Home",1,0.076923
"Widow's Lament",1,0.076923
"Shapeless",1,0.076923
"Edith's Theme",1,0.076923
"The End",2,0.153846
"Beginning of the End Movement I",1,0.076923
"Baldur",1,0.076923
"Light of the Seven",1,0.076923
"Game of Thrones - The Rains Of Castamere - Epic Version",1,0.076923
